blockNumber	transactionHash	status	gasUsed	cumulativeGasUsed	effectiveGasPrice
8981061	0x4a150b94603ecc6be84cd372997811d148d3515f54220f4313abe69c063f6945	1	99929	955223	60000000000
8981061	0x8923fcd682f1e35390e5a43d0f897d1f027d998f6279026d1aafb3870e273986	1	99737	755493	60000000000
8981061	0x91051057cf53b7d88b1ecf87b123fe87ddaa5a1b9a0db75433f4660f70a5f605	1	99801	855294	60000000000
8981063	0x227d156b094c75773f310140795400c2f757fe5603e451b506ad738802c5b076	1	99921	2069358	60000000000
8981063	0x41a6f277f32ffb27d70c04f06a0fe47d0c1a0188d6f49396b273a5a110123651	1	99793	1969437	60000000000
8981063	0x932b1ddd9eab8716837be15be5243a09343ae8c3e6a934afe9a790fbc6c90479	1	99729	2268880	60000000000
8981063	0xd299e8242fa6de34e9bbaa1c9337172a85caedc2d1ec6b83e4bcf08196a45d66	1	99793	2169151	60000000000
8981064	0x64ac9bde25ab5442f08086a6004dbfe94fbf58b06fc0e5ab9d2ba21d80d9df62	1	84793	7449742	25000000000
8981064	0x7488c026dbeb28c55a88b773a6d1217e67f966e49b70bf49f99e3219fc9820d4	1	84793	7534535	25000000000
8981071	0x283793720e1c49f3170da7bb1f0beaec3585cb410ff48da11655ab603d6a9389	1	84793	8661945	25000000000
8981071	0x5bc3b061282e83e106936867c7b47960a3be663efe254cc462de5312b62a3118	1	84921	8746866	25000000000
8981071	0x6618c0de2c20da32ea8cab3d6fffcbab6fefe2086ca39c5ffd27dac45ff1f919	1	84729	8577152	25000000000
8981071	0x6c6875491f030d8623501eb4e85496ad3338ee310822d0e87254566eca183da1	1	84793	8492423	25000000000
8981076	0x920717eb2fca7a5e996d3d0cd3d7568d4a78262686e17b1a9b8e58ed644946b5	1	99673	736393	76500000000
8981076	0xf4a45e968ca1f9c1edc11b6cecad50e032ad7c3a6dab0d9c76de3120c16e2e4b	1	99801	636720	76500000000
8981080	0x1fec59c3f5ad52a5b2c5d9ea76fe127c253cf22dc6512b978f9f7a251460c3b3	1	99793	5349350	25000000000
8981080	0x5fc57716841100936d14e51c1c5734bc8bef5da5262fcd8a4825376670f0b47e	1	99729	5449079	25000000000
8981082	0x00b37a98e1149a62ceaf05f5bd4b36ff23be96ddeaf7a7c8d235637ca38896c9	1	84793	126793	76500000000
8981082	0x2a4b69c97d13230400497ca122360e2c163064827b96efd3a85e3fbd7c890e7a	1	84793	211586	76500000000
8981090	0x474751f63d617f457407fb9adcb8dc11af835cfaa5e97411213129a7ebb3384a	1	84793	8640317	25000000000
8981090	0x8b3a2bbd9d72b7950def7bdad569bc975a4c9baade6245c38cb140d7fa476a69	1	84793	8725110	25000000000
8982479	0x19e6085b14163b449a8f253880a02ff4a9f4c18feebaf1f767b07163a813281f	1	99801	276438	37500000000
8982481	0x431656ff101ca517ec050e77af0560c60f91bf92bdd88c14032dd38feaf8ce26	1	99793	138258	37500000000
8983352	0x3465049ec2b7438c8255882a5f252fcb5e9f71b8d26ed974eed0b2273dd9bf0b	1	99673	330392	22500000000
8983353	0x17e88ce163f1d73910e07b10b69479510cb547b0734c8cdff5a129bbc6c7c105	1	99793	2047435	22500000000
8986319	0xf6360319cb980da031612173c6486247606417dc6a85dc4de4469330a5a9d19f	1	99801	1165469	22500000000
8986336	0x2e697830ffa4fd386885ae7b57e47c696c402c549aa520c138324fd6ba92c948	1	99921	5062864	22500000000
